imasu:exist (animate),be,existieren,sein
arimasu:exist (inanimate),existieren,sein
iroiro,iroiro na:various,verschiedene
otokonohito:man,mann
onnanohito:woman,frau
takusan:viel,lots,plenty
otokonoko:boy,junge
onnanonoko:girl,mädchen
inu:dog,hund
neko:cat,katze
ki:tree,wood,baum,holz
denchi:battery,batterie
hako:box
suicchi:switch,schalter
reizooko:refrigerator,kühlschrank
teiburu:table,tisch
beddo:bed,bett
otokonoko:boy,junge
tana:shelf,regal
doa:door,tür
mado:window,fenster
posuto:post,postkasten
biru:building,gebäude
kooen:park,parc
kissatan:coffee shop,cafe
honya:book store,buchladen
noriba:haltestelle für taxi,haltestelle für zug,haltestelle für bus,place to catch taxi,place to catch train,place to catch bus
ue:on,above,auf,darüber
shita:under,below,darunter,unter
mae:front,before,davor
ushiro:back,behind,dahinter,hinter
migi:right,rechts
hidari:left,links
naka:in,inside,innen,in
soto:outside,draußen,außen
tonari:next,daneben
chikaku:near,nahe,in der nähe
aida:between,dazwischen
