imasu kodomoga:have a child,kind haben
imasu nihonni:stay in japan,in japan bleiben
kakarimasu okanega:take money,geld nehmen
kakarimasu jikanga:take time,zeit nehmen,zeit brauchen
yasumimasu kaishawo:take a day off,einen tag frei nehmen
ringo:apple,apfel
mikan:orange
karei raisu:curry and rice,curry und reis
kitte:postage stamp,briefmarke
hagaki:post card,postkarte
futoo:envelope,briefumschlag
sokutatsu:special delivery,sonderlieferung
kakitome:registered mail,einschreiben
kookuubin:airmail,luftpost
funabin:sea mail,seepost
ryooshin:parents,eltern
kyoodai:brothers and sisters,brüder und schwestern
oniisan:someone else's older brother,älterer bruder einer anderen person
oneisan:someone else's older sister,ältere schwester einer anderen person
otootosan:someone else's younger brother,jüngerer bruder einer anderen person
imootosan:someone else's younger sister,jüngere schwester einer anderen person
