kantan,kantan na:easy,einfach
chikai:near,nah
tooi:far,weit
hayai:early,früh,fast,schnell
osoi:late,spät,langsam,slow
ooi:many,much,viel
sukunai:few,a little,wenig
atatakai:warm
suzushii:cool,kalt
amai:sweet,süß
karai:spicy,scharf
omoi:heavy,schwer
karui:light,leicht
kisetsu:season,jahreszeit
haru:spring,frühling
natsu:summer,sommer
aki:autumn,fall,herbst
fuyu:winter
tenki:weather,wetter
ame:rain,regen
yuki:schnee,snow
kumori:cloudy,bewölkt
hoteru:hotel
kuukoo:airport,flughafen
umi:meer,sea,ocean
paateii:partey,feier
omatsuri,matsuri:festival,fest
shiken:examination,examen
sukiyaki:sukiyaki
sashimi:sashimi,roher fisch zum essen
osushi:sushi,sushi
tempura:tempura
momiji:maple,ahorn
