tabemasu:eat,essen
nomimasu:drink,trinken
suimasu:rauchen,smoke
suimasu tabakowo:smoke a cigarette,eine Zigarette rauchen
mimasu:see,look at,watch,sehen,ansehen
kikimasu:hear,listen,(zu)höhren
yomimasu:read,lesen
kakimasu:write,draw,paint,schreiben
kaimasu:buy,kaufen
torimasu shashinwo:take a photo,ein Foto machen
aimasu tomodachi ni:meet a friend,see (a friend),einen Freund treffen
gohan:a meal,cooked rice,eine Mahlzeit,gekochter Reis
asagohan:breakfast,Frühstück
hirugohan:lunch,Mittagessen
bangohan:dinner,Abendessen
pan:bread,Brot
tamago:egg,Ei
niku:meat,Fleisch
gyuniku:beef,Rindfleisch
butaniku:pork,Schweinefleisch
toriniku:chicken,Hühnerfleisch,Geflügelfleisch
sakana:fish,Fisch
yasai:vegetable,Gemüse
kudamono:fruit,Obst
mizu:water,Wasser
ocha:tea,green tea,grüner Tee
kocha:black tea,schwarzer Tee
gyunyu:milk,Milch
jusu:juice,Saft
biru:beer,bier
osake,sake:alcohol,Alkohol
eiga:movie,Film
shidi:CD
tegami:letter,Brief
shashin:photograph,Fotografie
mise:store,shop,Geschäft,Laden
resutoran:restaurant
shukudai:homework,Hausaufgaben
tenisu:tennis,Tennis
sakka:soccer,Fußball
torimasu:take,nehmen
