kirimasu:cut,slice,schneiden,
okurimasu:send,senden,
agemasu:give,geben,
moraimasu:receive,erhalten,
kashimasu:lend,ausleihen
karimasu:borrow,borgen
oshiemasu:teach,lehren
naraimasu:learn,lernen
kakemasu denwa:make a phone call,einen anruf machen
te:hand,arm
hashi:chopsticks,essstäbchen
supuun:spoon,löffel
naihu:knife,Messer
fooku:fork,gabel
hasami:scissors,schere
pasokon:personal computer,pc,computer
panchi:punch,locher
hocchikisu:stapler,tacker
seroteipu:scotch tape,paket band
keshigomu:eraser,radiergummi
kami:paper,papier
hana:flower,blume
shatsu:shirt,hemd
purezento:present,gift,geschenk
nimotsu:baggage,parcel,paket
okane:money,geld
kippu:ticket,fahrkarte
otoosan:someone else's father,vater einer anderen person
okaasan:someone else's mother,mutter einer anderen person
itadakimasu:thank you (before eat/drink), guten appetit
ryoko:trip,tour,reise
miyage,omiyage:souvenir,present,mitbringsel
