hansamu,hansamu na:handsome,attraktiv,gut aussehend
kirei,kirei na:beautiful,schön
shizuka,shizuka na:quiet,still,leise
nigiyaka,nigiyaka na:lively,lebhaft,rege
yuumei,yuumei na:famous,berühmt,bekannt
shinsetsu,shinsetsu na:kind,freundlich
genki,genki na:healthy,cheerful,freundlich,heiter,gesund
hima,hima na:free,free time,freizeit
benri,benri na:convenient,praktisch
suteki,suteki na:nice,wonderful,wundervoll
ookii:big,large,groß
chiisai:small,little,klein
atarashii:new,neu
furui:old (not of age),alt
ii,iiyoi:good,gut
warui:bad,schlecht
atsui:hot,heiß
samui:cold (weather),kalt
tsumetai:cold (touch),kalt
muzukashii:difficult,schwierig,schwer
yasashii:easy,einfach
takai:expensive,teuer,tall,heigh,hoch,groß
yasui:cheap,günstig
hikui:low,niedrig
omoshiroi:interesting,interessant
oishii:delicious,lecker,tasty
isogashii:busy,beschäftigt
tanoshii:fun,spaßig
shiroi:white,weiß
kuroi:black,schwarz
akai:red,rot
aoi:blue,blau
sakura:cherry,cherry blossom,kirsche,kirschblüte
yama:mountain,berg
tabemono:food,essen
kuruma:car,auto,automobil
benkyo:study,studieren,lernen
oshigoto,shigoto:work,business,arbeit
